"slug","category","internalOut","internalIn","external","outgoingNeeded","incomingNeeded","externalNeeded","priority"
"ai-music-generators","generative-ai",2,0,0,3,5,3,65
"chatgpt-for-students","chatgpt",2,0,0,3,5,3,65
"notion-vs-mem-vs-obsidian-ai","ai-comparisons",2,0,0,3,5,3,65
"sora-vs-runway-vs-pika","ai-comparisons",2,0,0,3,5,3,65
"ai-real-estate-tools","industry-ai",2,0,0,3,5,3,65
"ai-browser-extensions","ai-tools",4,0,0,1,5,3,55
"perplexity-vs-chatgpt-vs-google-ai-research","ai-comparisons",3,0,0,2,5,3,55
"meta-llama-4","ai-news",2,1,0,3,4,3,55
"ai-case-studies","ai-business",4,0,0,1,5,3,55
"ai-for-hr","industry-ai",4,0,0,1,5,3,55
"free-vs-paid-ai-tools","ai-comparisons",3,0,0,2,5,3,55
"prompt-debugging","prompt-engineering",3,0,0,2,5,3,55
"top-ai-startups-2026","ai-news",4,0,0,1,5,3,55
"midjourney-prompts-templates","generative-ai",2,0,2,3,5,1,55
"ai-cybersecurity","industry-ai",4,0,0,1,5,3,55
"claude-vs-chatgpt-2026-comparison","ai-comparisons",4,0,0,1,5,3,55
"ai-tools-small-business","ai-tools",2,2,0,3,3,3,55
"ai-web-scraping-tutorial","tutorials",2,0,1,3,5,2,55
"sora-ai-guide","generative-ai",2,1,0,3,4,3,55
"ai-meeting-assistants","ai-tools",3,0,0,2,5,3,55
"ai-presentation-tools","ai-tools",3,0,0,2,5,3,55
"ai-vendor-selection","ai-business",4,0,0,1,5,3,55
"mega-prompt-template","prompt-engineering",4,0,0,1,5,3,55
"temperature-top-p-ai","llms",3,0,0,2,5,3,55
"ai-email-tools","ai-tools",3,0,0,2,5,3,55
"multimodal-ai-explained","llms",4,0,0,1,5,3,55
"reasoning-models-explained","llms",4,0,0,1,5,3,55
"streamlit-ai-tutorial","tutorials",4,0,0,1,5,3,55
"n8n-ai-automation-tutorial","tutorials",5,0,0,0,5,3,50
"chatgpt-plugins-guide","chatgpt",9,0,0,0,5,3,50
"ai-avatars-guide","generative-ai",6,0,0,0,5,3,50
"ai-governance-framework","ai-business",7,0,0,0,5,3,50
"build-ai-workstation","ai-hardware",5,0,0,0,5,3,50
"jailbreak-prompts-explained","prompt-engineering",5,0,0,0,5,3,50
"ai-agent-memory-systems","ai-agents",5,0,0,0,5,3,50
"future-of-ai-agents-2026","ai-agents",5,0,0,0,5,3,50
"vector-database-snippets","code-snippets",5,0,0,0,5,3,50
"ai-inference-speed","ai-hardware",5,0,0,0,5,3,50
"fine-tune-llama-tutorial","open-source-ai",7,0,0,0,5,3,50
"future-vibe-coding","vibe-coding",12,0,0,0,5,3,50
"nvidia-vs-amd-for-ai","ai-hardware",6,0,0,0,5,3,50
"ai-content-strategy","ai-business",5,0,0,0,5,3,50
"ai-engineer-vs-ml-engineer-vs-data-scientist","ai-careers",5,0,0,0,5,3,50
"ai-logo-makers","generative-ai",6,0,0,0,5,3,50
"ai-voice-assistant-python","tutorials",5,0,0,0,5,3,50
"build-offline-ai","open-source-ai",11,0,0,0,5,3,50
"cloud-vs-local-ai","ai-hardware",6,0,0,0,5,3,50
"claude-agents-library","ai-agents",6,0,0,0,5,3,50
"how-gpt-works-transformers","llms",4,2,0,1,3,3,45
"tokens-in-ai-explained","llms",2,4,0,3,1,3,45
"rag-code-snippets","code-snippets",4,0,2,1,5,1,45
"copilot-vs-cursor-vs-cody","ai-comparisons",2,3,0,3,2,3,45
"chatgpt-alternatives","chatgpt",3,1,0,2,4,3,45
"ai-implementation-roadmap","ai-business",2,4,0,3,1,3,45
"ai-research-tools","ai-tools",3,1,0,2,4,3,45
"streaming-llm-responses","code-snippets",4,1,0,1,4,3,45
"vram-requirements-ai","ai-hardware",3,2,0,2,3,3,45
"openai-vs-anthropic-vs-google-api","ai-comparisons",3,1,0,2,4,3,45
"ai-copyright-ownership-guide","ai-ethics",5,2,0,0,3,3,40
"best-custom-gpts-worth-using","chatgpt",5,1,0,0,4,3,40
"fine-tune-llm-guide","tutorials",7,1,0,0,4,3,40
"open-source-vs-closed-ai","open-source-ai",20,1,0,0,4,3,40
"openai-api-code-snippets","code-snippets",5,0,1,0,5,2,40
"prompt-template-code","code-snippets",8,0,2,0,5,1,40
"enterprise-ai-platforms","ai-business",9,2,0,0,3,3,40
"ai-for-graphic-designers","generative-ai",6,1,0,0,4,3,40
"vibe-coding-best-practices","vibe-coding",6,2,0,0,3,3,40
"vibe-coding-tools-comparison","vibe-coding",8,2,0,0,3,3,40
"jasper-vs-copy-ai-vs-writesonic","ai-comparisons",3,0,3,2,5,0,35
"this-week-in-ai-weekly-roundup","ai-news",4,1,1,1,4,2,35
"best-vibe-coding-tools","vibe-coding",2,2,24,3,3,0,35
"claude-desktop-mcp-setup","mcp",4,2,2,1,3,1,35
"gpt-vs-claude-vs-gemini-2026","ai-comparisons",3,3,0,2,2,3,35
"context-window-explained","llms",3,3,0,2,2,3,35
"essential-code-prompts","prompt-engineering",3,1,1,2,4,2,35
"eu-ai-act","ai-news",2,11,0,3,0,3,35
"vector-databases-explained","tutorials",2,6,0,3,0,3,35
"ai-deepfakes-guide","ai-ethics",3,3,0,2,2,3,35
"ai-on-mac-guide","ai-hardware",3,3,0,2,2,3,35
"build-mcp-server-python","mcp",4,4,0,1,1,3,35
"mcp-vs-function-calling","mcp",4,3,0,1,2,3,35
"ai-roi-calculator","ai-business",2,6,0,3,0,3,35
"ollama-local-ai-guide","open-source-ai",2,22,0,3,0,3,35
"ai-voice-cloning","generative-ai",3,4,0,2,1,3,35
"ai-funding-tracker","ai-news",5,0,3,0,5,0,30
"ai-in-retail","industry-ai",5,0,3,0,5,0,30
"claude-4-released","ai-news",6,2,2,0,3,1,30
"ai-error-handling-snippets","code-snippets",9,1,2,0,4,1,30
"will-ai-take-my-job","ai-careers",6,4,0,0,1,3,30
"ai-function-calling-snippets","code-snippets",8,0,3,0,5,0,30
"mcp-github-server","mcp",7,0,3,0,5,0,30
"ai-customer-service-guide","ai-business",5,3,0,0,2,3,30
"ai-ethics-debate","ai-ethics",8,0,3,0,5,0,30
"crewai-tutorial","ai-agents",7,4,0,0,1,3,30
"openai-vs-anthropic-vs-google","ai-news",5,4,0,0,1,3,30
"ai-portfolio-projects","ai-careers",6,2,1,0,3,2,30
"remote-ai-jobs","ai-careers",5,0,22,0,5,0,30
"ai-in-2026-complete-timeline","ai-news",6,2,2,0,3,1,30
"replit-agent-guide","vibe-coding",5,1,2,0,4,1,30
"ai-benchmarks-explained","llms",6,0,5,0,5,0,30
"best-mcp-servers-claude","mcp",10,4,0,0,1,3,30
"learn-ai-without-tech-background","ai-careers",6,3,0,0,2,3,30
"mcp-resources-tools-prompts","mcp",7,1,1,0,4,2,30
"mistral-ai-models-guide","open-source-ai",11,3,0,0,2,3,30
"v0-vercel-tutorial","vibe-coding",7,4,0,0,1,3,30
"ai-career-transition","ai-careers",9,1,2,0,4,1,30
"claude-api-code-snippets","uncategorized",6,0,3,0,5,0,30
"how-to-use-chatgpt","chatgpt",3,12,0,2,0,3,25
"text-to-video-ai","generative-ai",3,3,1,2,2,2,25
"zero-shot-vs-few-shot-prompting","prompt-engineering",4,3,2,1,2,1,25
"ai-hallucinations-explained","ai-ethics",3,8,0,2,0,3,25
"chain-of-thought-prompting","prompt-engineering",3,6,0,2,0,3,25
"what-is-llm-explained","llms",4,23,0,1,0,3,25
"best-ai-agent-frameworks-compared","ai-agents",3,13,0,2,0,3,25
"free-ai-image-generators","generative-ai",3,6,0,2,0,3,25
"ai-skills-to-learn-2026","ai-careers",4,5,0,1,0,3,25
"ai-strategy-small-business","ai-business",3,14,0,2,0,3,25
"best-ai-certifications","ai-careers",3,5,0,2,0,3,25
"best-chatgpt-prompts-2026","chatgpt",3,6,0,2,0,3,25
"system-prompts-explained","prompt-engineering",4,9,0,1,0,3,25
"best-open-source-llms","open-source-ai",4,16,0,1,0,3,25
"hugging-face-tutorial","open-source-ai",3,4,2,2,1,1,25
"mcp-database-tutorial","mcp",4,3,1,1,2,2,25
"best-gpu-for-ai","ai-hardware",3,10,0,2,0,3,25
"ai-for-lawyers","industry-ai",6,2,3,0,3,0,20
"ai-for-teachers","industry-ai",7,1,3,0,4,0,20
"ai-for-writers","industry-ai",5,2,3,0,3,0,20
"ai-in-finance","industry-ai",7,2,3,0,3,0,20
"ai-pc-explained","ai-hardware",8,2,3,0,3,0,20
"ai-raspberry-pi","ai-hardware",7,2,6,0,3,0,20
"edge-ai-explained","ai-hardware",8,2,3,0,3,0,20
"vibe-coding-beginners","vibe-coding",7,1,4,0,4,0,20
"self-host-chatgpt-guide","open-source-ai",12,4,2,0,1,1,20
"ai-marketing-tools","ai-tools",7,2,4,0,3,0,20
"become-ai-prompt-engineer","ai-careers",11,6,0,0,0,3,20
"chatgpt-tips-and-tricks","chatgpt",6,15,0,0,0,3,20
"mcp-server-directory","mcp",6,2,5,0,3,0,20
"chatgpt-for-coding-developers-guide","chatgpt",6,9,0,0,0,3,20
"mcp-enterprise-security","mcp",6,1,3,0,4,0,20
"role-prompting","prompt-engineering",6,2,3,0,3,0,20
"lm-studio-guide","open-source-ai",7,3,2,0,2,1,20
"ai-misinformation-guide","ai-ethics",7,1,7,0,4,0,20
"claude-api-tutorial","tutorials",5,19,0,0,0,3,20
"langchain-code-snippets","code-snippets",9,1,3,0,4,0,20
"llm-landscape-family-tree","llms",7,1,4,0,4,0,20
"chatgpt-vs-claude-vs-gemini","chatgpt",5,12,0,0,0,3,20
"prompt-engineering-beginners-guide","prompt-engineering",5,25,0,0,0,3,20
"what-is-mcp-explained","mcp",5,5,0,0,0,3,20
"midjourney-vs-dalle-vs-stable-diffusion","ai-comparisons",5,5,0,0,0,3,20
"embeddings-explained","llms",5,3,1,0,2,2,20
"ai-agents-vs-chatbots","ai-agents",3,8,1,2,0,2,15
"ai-job-interview-questions","ai-careers",4,3,4,1,2,0,15
"free-ai-tools-worth-using","ai-tools",2,12,8,3,0,0,15
"stable-diffusion-tutorial","generative-ai",3,3,8,2,2,0,15
"what-are-ai-agents","ai-agents",1,36,3,4,0,0,15
"bolt-new-tutorial","vibe-coding",3,5,2,2,0,1,15
"cursor-ai-tutorial","vibe-coding",4,6,2,1,0,1,15
"ai-agent-use-cases","ai-agents",5,3,3,0,2,0,10
"ai-in-healthcare-2026","industry-ai",5,4,3,0,1,0,10
"ai-use-cases-industry","ai-business",5,4,3,0,1,0,10
"google-gemini-3-whats-new","ai-news",5,3,5,0,2,0,10
"ai-regulation-guide","ai-ethics",6,6,1,0,0,2,10
"openai-api-tutorial","tutorials",6,22,2,0,0,1,10
"ai-agent-code-patterns","code-snippets",10,3,3,0,2,0,10
"chatgpt-for-writing","chatgpt",7,3,3,0,2,0,10
"gpt-5-release-everything-we-know","ai-news",5,3,3,0,2,0,10
"ai-safety-alignment","ai-ethics",7,4,4,0,1,0,10
"what-is-vibe-coding","vibe-coding",5,9,1,0,0,2,10
"best-ai-writing-tools-compared","ai-tools",4,5,3,1,0,0,5
"ai-bias-explained","ai-ethics",4,11,3,1,0,0,5
"create-custom-gpt-guide","tutorials",4,8,6,1,0,0,5
"multi-agent-systems-explained","ai-agents",4,6,4,1,0,0,5
"langchain-agents-tutorial","ai-agents",4,11,3,1,0,0,5
"responsible-ai-ethics","ai-ethics",9,9,3,0,0,0,0
"ai-privacy-data","ai-ethics",6,8,3,0,0,0,0
"ai-productivity-tools-save-hours","ai-tools",6,17,5,0,0,0,0
"best-ai-tools-everyone-should-use","ai-tools",5,30,4,0,0,0,0
"build-rag-chatbot-tutorial","tutorials",5,14,5,0,0,0,0
"llama-3-guide","open-source-ai",5,7,3,0,0,0,0
"ai-prompt-library-templates","prompt-engineering",7,6,3,0,0,0,0
"build-first-ai-agent-python","ai-agents",6,16,3,0,0,0,0
